sentence1,label
"Carla bought ice cream and cake for Andy's birthday. Carla put the ice cream in the fridge. Carla put the cake in the fridge. The next day, Carla took the cake and ice cream out of the fridge to eat. Carla and Andy ate cold cake.",1
Tom put his umbrella in his suitcase. Tom packed his hat in his suitcase. Tom forgot his suitcase at home when he left for the airport. Tom checked his suitcase in at the airport. Tom boarded the plane without his gloves.,0
John stood up from the couch. John closed the door. John picked up the remote. John switched on the tv. John sat in the couch and watched tv.,1
Ann climbed over the fence. Ann picked up the volleyball ball. Ann picked up the tennis ball. Ann put the balls in her duffle bag. Ann filled up her water bottle in the fountain.,1
Tom leaves the bathroom. Top uses the soap bar to wash himself. Tom uses the water to rinse himself off. Tom grabs a towel to dry himself. Tom dries his hair with a hair dryer.,0
Dan was sitting in his favorite chair. Dan got up to change the channel on the television. Dan found a nature program on the television. Dan decided to relax in bed while watching the television. Dan fell asleep while relaxing in bed.,1
John took the towel to the bathroom. John accidentally drops his towel in the toilet. John wiped himself with the towel. John dried the hair with hair dyer. John put the clothes in the washing machine.,0
"Tom went into the bathroom and took a shower. Tom dried off and used the mirror to look at his face. Tom dropped the mirror on the floor, then swept up the pieces and threw them away. Tom brushed his teeth. Tom used the mirror to look at his hair.",0
John went to play in the park. John took off his shoes. John jumped into the sandbox under the tree. John then climbed out to get a ball out of his bag. John pushed his skateboard in the sandbox for fun.,1
Ann quietly opened the door. Ann sat in the chair. Ann took off her flip flops. Ann picked up the radio. Ann plugged the radio in the power outlet.,1
John put the watermelon on the counter. John got a knife out of a drawer. John threw the watermelon in the dustbin. John put some of the watermelon in a cup. John ate the watermelon.,0
John turned on his desktop computer. John opened his stationary box. John could not find his pen. John typed on his keyboard. John printed his notes on the printer.,1
Lee went to the kitchen to make himself a sandwich. Lee got the ingredients out of the refrigerator. Lee spread mayonnaise and mustard on his bread. Lee assembled the sandwich and put it on a plate. Lee sat down to eat his sandwich.,1
Tom took cake from fridge. Tom peeled the orange with knife. Tom dumped milk into sink. Tom ate ice cream with spoon. Tom put cake into oven.,1
Tom took off the wrench from the shelf. Tom got the screwdriver from the toolbox. Tom used the wrench and screwdriver to disassemble the bicycle. Tom put the bicycle parts into the wooden box. Tom sealed the box with tape.,1
Tom hard boiled the egg. Tom cut up the egg. Tom cut up the cucumber. Tom mixed the egg and the cucumber. Tom poached the egg.,0
John pushed in the chair. John took everything off the table. John turned off the radio. John picked up the cell phone. John put on his hat and walked away.,1
Tom was packing his suitcase. Tom put his hat in the suitcase. Tom added his gloves to the suitcase. Tom threw away his only shoes. Tom put on his shoes.,0
Tom took the chainsaw and cut out a few pieces of wood. Tom took the hammer and hammered nails to the wood. Tom put all the pieces of wood together and finished making a box. Tom painted the box using blue paint. Tom put the box in the garage to dry.,1
Mary got her tool box. Mary opened the box. Mary took out materials from the opened box to reveal coffee table parts. Mary smashed the parts. Mary put the finished coffee table in the center part of the living room.,0
Lee lost his duffle bag. Lee set his duffle bag on the ground and got out his shorts and shoes. Lee played frisbee near the swings. Lee then played in the skateboard area. Lee rested by the tree and drank from his water bottle.,0
Mary realize she forgot to buy a hammer. Mary took the hammer out of the box and put it on the shelf. Mary moved the chainsaw over to a corner in the garage. Mary took the rope out of the box and hung it on a nail on the wall. Mary went out to the car and brought in her dry cleaning machine.,0
Tom got into the shower. Tom grabbed the shampoo bottle. Tom found out that the shampoo is finished. Tom washed his hair. Tom got out of the shower. Tom used the hair dryer.,0
Ann wanted to clean her pants. Ann walked over to the washing machine. Ann discovered someone else is using the machine. Ann put her pants in the washing machine. Ann turned the washing machine on.,0
Lee was cleaning the kitchen. Lee dumped all the waste materials in the bin. After a while the bin was filled with waste. Lee buried all the waste in the ground. Lee cleaned the bin and kept it in the sunlight.,1
Mary turned on her desktop computer. Mary made sure the copier was working. Mary used the copier to copy some things. Mary cut out the copied paper with some scissors. Mary colored in the cut out pieces of paper with blue ink.,1
"Ann rode her bike to the park. Ann sat on a bench and read a book. Ann finished her food and walked to work. Ann ate her lunch and went back to reading her book on the bench. Ann packed up, got on her bike and rode home.",0
John was standing at the sink. John turned on the faucet and filled the sink. John added all the detergent to the sink. John added a skirt to the sink. John put the full detergent pack back into the cupboard.,0
Tom went to the phone to call his friend. Tom realized he needed to send out his resume. Tom grabbed a pencil but broke its tip. Tom wrote the message with the pencil. Tom used some blue ink to print his resume.,0
Tom had to assemble his bicycle. Tom grabbed the wrench. Tom took the bike parts out of the box. Tom put the bike together with the wrench and screwdriver. Tom rode the bike around the yard.,1
John sat on the bench and ate his sandwich. John drank some water from the bottle. John was wearing shorts because it was so hot outside. John's dog broke his frisbee when they were playing. John threw the frisbee into dustbin.,1
John had a new chainsaw. John removed the chainsaw from its box. John set up a ladder to cut a tree down. John used a rope to haul the tree stump. John used his car to drive to the dump to dispose of his tree stump.,1
Ann bought a new copier. Ann set the heavy copier on top of a red cardboard box but the box crumpled completely flat under the weight of the copier. Ann put some items into the box. Ann used her new copier to make some copies from a book. Ann then brought her stapler and scissors to the table.,0
Ann used a wrench to try to repair her bicycle but was unable to. Ann threw down the wrench. Ann got an axe from the car. Ann chopped up her bicycle into tiny bits with the axe. Ann put the axe and wrench in a box and drove her car away.,1
John ate the cake. John took the ice cream out of the fridge. John ate the ice cream. John dropped the bowl on the floor and broke it. John put the milk in the fridge.,1
Mary got a phone call from the office at night. Mary ignores the call and goes back to sleep. Mary need to print some important document. Mary refers all kinds of notebooks to prepare the document. Mary finished her work and went back home.,0
Tom grabbed the book. Tom wrote in the book with blue ink. Tom sat at the table. Tom turned on the table lamp. Tom read the book.,1
Mary sat down on the couch in the living room. Mary reached for the television remote. Mary turned on the television with the remote. Mary chose a movie she wanted to watch. Mary watched the movie.,1
Ryan switched on the heater. Ryan put the towels onto the hanger. Ryan replaced all of his soap with bottles of body gel. Ryan took the soap from stand. Ryan started applying soap and bathing. Ryan turned off the shower.,0
"Tom played basketball with Jerry and Sam on Monday. Tom broke his tennis racket while playing tennis with Jim on Tuesday. Tom lost his duffel bag at the airport on Wednesday. Tom told his friends he had lost his duffel bag and broke his tennis racket. Jerry, Sam and Jim surprised Tom with a new tennis racket and duffel bag on Sunday.",1
Mary came home from the store and put the ice cream in the freezer. Mary boiled a pot of water and put in a box of pasta. Mary cooked the pasta and drained it in a colander in the sink. Mary spilled the colander and all the pasta went down the drain. Mary sat down to enjoy her pasta for dinner.,0
Mary rode home on her bicycle. Mary cut down the only tree in her yard with a chainsaw. Mary put a swing on the tree. Mary got a box out of her truck. Mary put the cut wood into her truck to take to the dump.,0
Tom brushed his teeth with the toothbrush. Tom washed his face in the sink. Tom dried his face with a towel. Tom put on his shirt and shorts. Tom brushed his hair with the hair brush.,1
John borrowed a chainsaw from a neighbor to cut a tree. John decided he would need a ladder to reach a high branch. John cut off a branch but it fell and crushed the lawnmower. John put the scraps from the lawnmower in a box. John mowed the lawn.,0
Mary got her tool box. Mary opened the box. Mary took out materials from the opened box to reveal coffee table parts. Mary used the tools from the tool box to assemble the coffee table. Mary put the finished coffee table in the center part of the living room.,1
John put a bowl on the counter. John turned on the oven. John mixed the cake batter. John ate the ice cream. John put a dollop of ice cream on the cake.,0
John took a bath. John drained the bathtub. John brushed his hair with the hair brush. John picked up his dirty socks and dropped them in the dustbin. John wrapped himself in his blanket.,1
Mary trims grasses using lawnmower. Mary puts trimmed grasses in the bucket. Mary cuts woods using chainsaw. Mary keeps woods in the box. Mary picks box and bucket to the car.,1
Ann walks into the kitchen to fix a sandwich. Ann retrieves a plate and butter-knife from the cupboards. Ann opens the refrigerator and discovers her brother ate the last of the ham. Ann decides on the wholegrain bread from the pantry. Ann constructs the ham sandwich. Ann sits down at the kitchen table to enjoy her meal.,0
Jill was watching a video on her computer. Jill had a notebook beside her. Jill emptied all of the ink out of her pen. Jill used the pen to take notes on the notebook. Jill closed the video and turned off the computer.,0
John stood up from the couch. John closed the door. John picked up the remote. John threw the remote at the tv and broke the screen. John sat in the couch and watched tv.,0
John took out an apple and a banana from the fridge. John peeled and sliced the mango. The apple rolled off the counter onto the dirty floor. John rinsed the apple under the faucet. John cut the apple into small pieces.,0
John knocked over the table. John knocked the tv out of the window. John grabbed his suitcase. John put on his shoes. John turned off the tv.,0
Mary sat on the couch. Mary looked at the phone on the coffee table. Mary blew up a balloon. A toy car crashed into the balloon and burst it. Mary went outside and let the balloon float away.,0
John pulled up a chair. John sat on his eyeglasses and smashed them. John turned on the radio. John heard the phone rang. John turned down the radio and made a phone call.,1
John threw the toothbrush out of the window. John looked at himself in the mirror. John put toothpaste on his toothbrush. John brushed his teeth. John cleaned the bathtub before his guests arrived.,0
John went to the bathroom. John decided to take a bath in the bathtub. John shaved his head while in the tub. John used the hair brush while in the tub. John got out of the tub and wrapped himself with towel.,0
John opened the fridge. John took out butter. John also grabbed the ice cream. John put the butter and ice cream in a blender. John put the blended food in a cup.,1
Mary took her shoes off. Mary threw her shoes over a tall fence. Mary threw a football over the tall fence. Mary threw a frisbee over the tall fence. Mary put on her shoes.,0
Ann turned on the light switch. Ann broke the vase to pieces. Ann put flowers in the vase. Ann sat at the table. Ann played the poker game with the playing cards.,0
Tom put the bicycle in the car. Tom cut the rope with the scissors. Tom put the wrench and drill in the car. Tom tied the bicycle to the car with the cut rope. Tom drove the car to the repair shop.,1
John bought an axe at the store. John saw that a wrench was on sale so he bought it too. John decided to buy a tool box from another store. John took his car back to the store to purchase the tool box but ran out of gas. John drove home to get a container for gas.,0
"Ann opened the toolbox to get a few things for her camping trip. Ann took out an axe, a pair of scissors, rope and a few other things. Ann put these items in a box and placed them in the trunk of her car. Ann fastened her bicycle to the bicycle rack on her car. Ann went for a nice, long bicycle ride.",0
John walked in through the door. John sat on the couch. John turned the tv on. John picked up his phone when it rang. John turned his tv lower.,1
John turned on the oven. John used knife to cut apple. John used spoon to break egg. John threw the bowl in the garbage can. John put the bowl in the oven.,0
John was riding his bicycle. John braked when he saw a car. John was carrying a bucket. In the bucket was a wrench. The wrench flew out of the bucket.,1
John took the cutting board out of the dishwasher. John put the black mug in the dishwasher. John put the blue mug on the counter. John put the short knife on the cutting board. John poured coffee into the blue mug.,1
John broke the sink with a hammer. John gathered water from the faucet. John used the soap bar on the stain. John also used detergent on the stain. John got his new shorts dirty by cleaning the sink.,0
"Ann walks into the kitchen to fix a sandwich. Ann retrieves a plate and butter-knife from the cupboards. Ann gets the ham, mayonnaise, and cheese out of the refrigerator. Ann decides on the wholegrain bread from the pantry. Ann constructs the ham sandwich. Ann sits down at the kitchen table to enjoy her meal.",1
Mike stood up from the easy chair. Mike walked to the end table. Mike stepped on the remote control and broke it. Mike used the remote control to change the channel. Mike sat back down in the easy chair with the remote control.,0
Mary opened her toolbox. Mary took out an axe and hammer. Mary needed to work on her car. Mary used the axe to cut open a wooden box. Mary took out car parts from the box.,1
Tom took his hammer to smash his old bathtub to smithereens. Tom used his chainsaw to cut up old boards from the bathroom being remodeled. Tom grabbed scissors to cut out a piece of paper in the shape of a heart for his wife. Tom then took his bicycle to the store to buy a snack. Tom brought the box of cookies home from the store.,1
Tom played volleyball. Tom opened his duffle bag. Tom drank all his water and threw out the water bottle. Tom played basketball. Tom drank from the water fountain.,1
Ann turned on the faucet. Ann tossed her pants in the washing machine. Ann realized that the washing machine would not work. Ann added her towel in the washing machine. Ann poured bleach in the water.,0
"The room was dark, so Frank switched on the table lamp. Frank made photocopies with the copier. Frank shredded the book with the scissors. Frank wrote in the notebook. Frank turned off the table lamp.",1
John knocked over the table. John knocked the tv out of the window. John grabbed his suitcase. John put on his shoes. John opened the door and went out.,1
John was fired from his job and escorted out of the building. John sat down at his table. John checked for the pending works file. John got this work report for yesterday. John planned for the present day's work.,0
"John washed his hair with the shampoo. John put some conditioner on his head. John used the hair dryer to dry his hair. John took all of his clothes out of the dryer. John put on a shirt, shorts and socks.",1
Ann found a box. Ann took out a pencil from the box. Ann turned on the table lamp. Ann wrote a note in her notebook. Ann used the fax machine.,1
Ann plugged the TV into the power outlet. Ann sat on the couch. Ann took off her shoes. Ann turned on the TV. Ann heard a knock on the door.,1
"Ann moved her couch off the carpet. Ann disassembled her table. Ann put her laptop, candle and book on the table. Ann dumped her coffee mug in the sink. Ann picked up the umbrella and put it in the mud room.",0
Tom looked around the garage. Tom was looking for the box of Christmas ornaments. Tom saw the box of Christmas ornaments on a high shelf. Tom found a step ladder and used the ladder to reach the box of Christmas ornaments. Tom put the step ladder away and carried the box of Christmas ornaments out of the garage.,1
Mary turned on the table lamp. Mary could not find her scissors. Mary used the scissors to cut out shapes. Mary colored the shapes with her pencil. Mary used the copier to make lots of copies of the shapes.,0
Ann found her car broke down. Ann got the toolbox. Ann took out a drill and a wrench. Ann used the tools to fix the car. Ann could not find the wrench.,0
John walked past the swings. John threw the water bottle into a waste basket. John sat down on a bench. John tied his soccer shoes. John stood up from the bench and kicked the soccer ball.,1
"Ann went into the garage and took out a box of tools to sell at her garage sale. Ann put the wrench, ax, and hammer on the table with other tools. Ann grabbed the car mats in the garage and placed them on the miscellaneous table. Ann picked up her son's old bike and put it next to the table with toys. Ann went into the kitchen, got a cup of coffee and went out to greet the customers.",1
Ann drank from her water bottle. Ann decided to go to a frisbee game. Ann broke her skateboard while riding it. Ann put the broken skateboard in her bag. Ann walked up to the frisbee game and rested against a tree.,1
Mary changed into her shorts. Mary grabbed a towel and headed to the beach. Mary brought along her soap bar and shampoo bottle to clean up at the beach. Mary forgot her towel at the beach. Mary put her towel in the dryer.,0
Mary's car was broken. Mary grabbed the axe for the car door. Mary used the hammer to fix the car door. Mary had a broken bike. Mary could not fix the bike with the toolbox.,1
Mary took off her socks. Mary put the socks in the washing machine. Mary opened the cabinet. Mary dropped her toothbrush in the toilet. Mary brushed her teeth while looking in the mirror.,0
Ann stepped into the bathroom. Ann turned on the washing machine. Ann put the detergent in the washing machine. Ann put the shorts in the washing machine. Ann walked out of the bathroom.,1
"John was getting the snacks ready for the party. John opened the cabinet, took out a pan and put it on the counter. John opened the fridge and got out the pizza. John put the pizza on the pan and put them into the oven. John called the pizza joint to deliver a pizza.",0
John took out the apple. John took out the knife. John used the knife to peel the apple. John ate the entire apple except the peel. John threw away the entire apple in the dustbin.,0
Ann stepped into the garage. Ann turned on the washing machine. Ann put the detergent in the washing machine. Ann put the shorts in the washing machine. Ann walked out of the bathroom.,0
Ann got out of the bathtub. Ann threw away the empty deodorant. Ann used the hair dryer. Ann put on her pants. Ann used the deodorant on her body.,0
John needed to make photocopies of a document before he went to a meeting. John printed out the document. The copy machine rejected his user code rendering him unable to copy. John stapled the copies and made a tidy stack. John put the stack of copies into a folder.,0
Ann took out the bread to toast. Ann took out the jam. Ann sliced the bread and toasted it. Ann put jam on the last of the bread and ate it. Ann served the bread in the plate.,0
Tom took watermelon out of the fridge. Tom cut the watermelon into cubes. Tom put a banana in a cup. Tom mashed the banana. Tom mixed the watermelon and banana together.,1
Lee was preparing to cook noodles in the kitchen. Lee searched for the noodles masala in the cupboard but the masala was not there. Lee searched for it in the boxes on the shelf. Lee looked everywhere in the kitchen but could not find any masala. Lee cut down the masala and put it in the noodles and cook well. Lee was so happy as the noodles cooked well and the taste was so good.,0
Mary enters the door. Mary walks on the carpet. Mary takes out an banjo. Mary plugs the guitar to the power outlet. Mary plays a song with the guitar.,0
Ann hammered the fence into place. Ann used the lawnmower on the grass. Ann got a box from the garage. Ann nailed the box onto the fence. Ann drove her car home.,1
Mary picks up the phone. Mary talks with someone on the phone. Mary grabs a pen and writes a note on the notebook. Mary uses the printer and walks over to the table to retrieve the printouts. Mary grabs the scissors and cut a magazine while sitting in a chair.,1
John placed the wrench outside of the bucket. John placed the bucket in the car. John drove the car to work. John ran over a bike on the road. John got off and ran from the car.,1
Ann tied a helium balloon to the bracelet she was wearing. Ann picked up the laptop and carried it to the door. Ann jumped as the balloon popped when it hit a nail in the door. Ann took off her bracelet with the deflated balloon and dropped them onto the carpet. Ann watched in dismay as the balloon carried her bracelet up toward the sky.,0
Tom took cake from fridge. Tom peeled the orange with knife. Tom throws away his ice cream. Tom ate ice cream with spoon. Tom put cake into oven.,0
Mary sliced the apple. Mary ate the orange. Mary put the donut and the cake into a box. Mary baked an apple pie. Mary took the apple pie out of the oven.,1
Ryan had dirty hands. Ryan went to the sink. Ryan turned off the faucet. Ryan cleaned his hands. Ryan dried his hands.,0
John set the table. John turned on the table lamp. John sat in the dark and could not see anything. John wrote in his notebook. John put the notebook in the drawer.,0
Tom chopped the tree down with an axe. Tom used his drill and hammer to build the table. Tom accidentally locked the bicycle in the trunk of his car with his keys inside. Tom went for a ride on his bike. Tom put the axe back in the shed.,0
John placed the wrench outside of the bucket. John placed the bucket in the car. John drove the car to work. John ran over a bike on the road. John got on the bike and drove off.,0
Tom renovated the bathroom and began the final cleaning. Tom cleaned the bathtub and sink with a brush. Tom cleaned the mirror with a window cleaner. Tom wiped off the cabinet with some wood cleaner and liked the way it looked. Tom put all the bathroom items back in the cabinet.,1
"Ann rode her bike to the park. Ann sat on a bench and read a book. Ann watched all the other people at the park. Ann ate her lunch and went back to reading her book on the bench. Ann packed up, got on her bike and rode home.",1
Mary took a notebook from table. Mary put the pen on magazine. Mary connected printer to the laptop. Mary printed some paper. Mary used scissors to open a letter.,1
Mary used the shampoo in the shampoo bottle. Mary put on her towel. Mary used the hair dryer very thoroughly. Mary took off her towel. Mary used the towel to dry her hair.,0
Ann took out her notebook. Ann stapled the notebook to the book. Ann turned on her computer. Ann typed on the keyboard. Ann used the phone.,1
John needed to make photocopies of a document before he went to a meeting. John printed out the document. John punched his user code into the copy machine and set it to make ten copies. John stapled the copies and made a tidy stack. John put the stack of copies into a folder.,1
"Tom grabs a bowl from the cupboard. Tom breaks an egg into the bowl. Tom adds salt to the egg in the bowl. Tom beats the egg with a fork. Tom picks up the bowl but accidentally drops it, breaking the bowl and splattering the egg on the floor. Tom adds the egg to the heated pan and cooks it.",0
"Ann opened the toolbox to get a few things for her camping trip. Ann took out an axe, a pair of scissors, rope and a few other things. Ann put these items in a box and placed them in the trunk of her car. Ann fastened her bicycle to the bicycle rack on her car. Ann went inside the house to get the rest of her gear to put in the car.",1
John opened the door to his office. John walked to his chair and sat in it. John turned on his computer. John took a sip of coffee from his coffee mug. John used his keyboard to log in to his computer.,1
Mary heard the phone ring and entered the living room. Mary stepped on the toy car and broke it. Mary answered the phone. Mary opened the window for some fresh air. Mary sat down on the couch.,1
John took a donut out of the cabinet. John ate the donut. John turned on the stove. John melted butter in a pan. John stirred the butter in the pan.,1
Ryan entered the bathroom to take bath. Ryan switched on the heater. Ryan realised that the water heater was not working. The water got heated. Ryan took bath and came out.,0
Ann sits on her chair. Ann switches her desktop computer on. Ann types on keyboard. Ann prints the document. Ann uses the scissors to trim the printed papers.,1
Ann took a bubble bath in the bathtub. Ann put on deodorant then plugged in her hair dryer. Ann used bleach to clean her bathtub. Ann threw her socks and pants into fire. Ann put on her socks and pants.,0
John took the cold pizza out of the fridge. John turned the oven off. John put the pizza in the oven. John put a knife and plate on the table. John took out some ice cream and put it next to a banana. John got out a bowl and scooped some ice cream into it.,0
Ann found a box. Ann took out a pencil from the box. Ann turned on the table lamp. Ann wrote a note in her notebook. Ann could not open the box.,0
Mary put her shorts and a tennis ball into a duffle bag. Mary grabbed the bag and went to the gym. Mary changed into her shorts and went outside to bounce the tennis ball. Mary bounced the tennis ball over the fence and could not reach it. Mary put the tennis ball back in the duffle bag.,0
John turned the knob on the oven but the oven was broken. John took out the knife from the drawer. John cut open the watermelon and removed the rind. John juiced the melon and put it in the cup. John turned on the oven.,0
John leaned against the fence. John put on a pair of shorts. John threw his duffel bag up into a tree and it stuck. John broke his skateboard in half. John gave up and rode his skateboard home.,0
Ann hammered the fence into place. Ann used the lawnmower on the grass. Ann threw the box in the garbage can. Ann nailed the box onto the fence. Ann drove her car home.,0
John plugged the sink. John turned on the faucet. John put all of the detergent in the sink. John turned off the faucet. John stored the detergent under the sink.,0
Ann plugged the tv into the power outlet. Ann pushed the couch against the door. Ann kicked off her shoes. Ann sat down on the couch. Ann watched the tv.,1
Mary filled the bucket with water. Mary cut the rope into small pieces. Mary climbed the ladder to reach the bicycle on the wall. Mary took the bicycle down. Mary rode the bicycle.,1
Jimmy looked out of the open window. Jimmy answered a call on the phone. Jimmy smashed his watch on the floor. Jimmy emptied his suitcase. Jimmy threw his suitcase out of the window.,1
Mary sliced the apple. Mary gave the whole apple to a friend. Mary made an apple pie. Mary dropped her donut in a sink full of water. Mary put the apple pie in a box.,0
"Tom played basketball with Jerry and Sam on Monday. Tom broke his tennis racket while playing tennis with Jim on Tuesday. Tom fixed his racket and bought a new duffel bag. Tom told his friends he had lost his duffel bag and broke his tennis racket. Jerry, Sam and Jim surprised Tom with a new tennis racket and duffel bag on Sunday.",0
John got a chainsaw out to cut down a tree. John climbed the tree. John then put the small bushes in a bucket. John then saw a box that had bugs all over it. John placed the box in the trash.,0
"Ann plugged the TV into the power outlet, but it went on short-circuit. Ann sat on the couch. Ann took off her shoes. Ann turned on the TV. Ann heard a knock on the door.",0
Tom turned off the printer. Tom spilled coffee on his keyboard and ruined it. Tom wrote an article with the pen. Tom made three copies of the article with the printer. Tom put the copies in the drawer.,0
Ann and Mary were on the see-saw watching other kids play frisbee and skateboard. Mary lost her shoes and wanted to get off the see-saw and climb a tree. Ann said okay but wanted to take a drink first. Ann and Mary cut down the tree. Ann and Mary climbed the tree.,0
Mary took off a box from the shelf. Mary knocked the shelf down with a hammer. Mary picked up a chainsaw. Mary cut the shelf into pieces with the chainsaw. Mary put the box in her car.,1
"Ann walked into her office and turned on the table lamp. Ann checked the fax machine to see if there were any faxes. Ann opened her supplies drawer and took out a box of paper clips, a pencil and some scissors. Ann opened her briefcase and took out her notebook. Ann walked into the other room to get a pair of scissors.",0
Tom checked for the problem in the bike. Tom found out the problem was with the engine. Tom really tried but could not dismantle the bike. Tom changed the faulty parts. Tom assembled the parts and then checked the bikes condition.,0
Mary missed her wallet in her living room. Mary started searching for it. Mary found the wallet in the cupboard. Mary finally found that her dog was playing with her wallet. Mary got her wallet from her dog who was sitting with her in the couch.,0
Mary turned on the desktop computer. Mary plugged in the keyboard. Mary turned off the copier. Mary read the magazine. Mary put away the magazine.,1
Mary got a phone call from the office at night. Mary took the laptop with her and went to the office. Mary need to print some important document. Mary refers all kinds of notebooks to prepare the document. Mary finished her work and went back home.,1
Mary took a pan from the cupboard. Mary put the pan on the stove. Mary took out a bowl. Mary cracked open an egg. Mary put the egg in the pan.,1
Mary placed her socks in the washing machine. Mary put bleach in the washing machine. Mary opened the cabinet door. Mary took the toothpaste from the cabinet. Mary brushed her teeth with the toothpaste.,1
