story,label,breakpoint,id,fold
"['John rinsed the plate and the bowl in the sink.', 'John accidentally smashed the plate on the floor.', 'John took out a banana from the fridge.', 'John peeled and cut the banana into small pieces.', 'John mixed the banana and yogurt in the bowl.']",1,-1,train_27,2
"['Ann was wearing her shorts because it was hot.', 'Ann played some basketball with her friends.', 'Ann put on pants earlier because it was freezing cold.', 'Ann got her towel drenched in sweat so much that she had to hang it to dry.', 'Ann drank water from the bottle.']",0,2,train_28,8
"['Ann went to the free art class at the park.', 'Ann could not find an empty easel.', 'Ann swirled green paint on the easel.', 'Ann drew long lines of brown paint down from the green swirl.', 'Ann admired the tree she had painted.']",0,2,train_29,2
"['Tom got off the see-saw.', 'Tom went to the water fountain.', 'Tom filled his water bottle from the fountain.', 'Tom dropped the bottle and spilled all of his water on his duffle bag.', 'Tom pulled out the volleyball from the duffle bag and let it dry.']",1,-1,train_30,9
"['Mary turned on the stove.', 'Mary heated up the pan.', 'Mary cracked the egg into the pan.', 'Mary prepared her plate.', 'Mary hard boiled the egg.']",0,4,train_31,3
"['Ann cleared off the table.', 'Ann closed the blinds on the window.', 'Ann turned on the light switch.', 'Ann dropped her vase on the floor and broke it.', 'Ann picked up the playing cards and pieces of the vase.']",1,-1,train_32,3
"['Mary opened her laptop.', 'Mary broke her printer.', 'Mary went to the printer.', 'Mary picked up the printed sheets.', 'Mary stapled the papers together.', 'Mary put her letter in an envelope.']",0,2,train_33,4
"['Mary tore a piece of paper from the notebook.', 'Mary wrote a short message on the paper.', 'Mary threw the pen away because it ran out of ink.', 'Mary gave her laptop away.', 'Mary plugged her laptop in to recharge it.']",0,4,train_34,0
"['John went outside and played basketball.', 'John went in the house to get his duffel bag.', 'John took his tennis ball out of the duffel bag.', 'John took his tennis racket out of the duffel bag.', 'John went outside to play tennis.']",1,-1,train_35,7
"['Tom ate ice cream with spoon.', 'Tom opened the fridge and took a cake from it.', 'Tom peeled the orange with knife.', 'Tom poured milk into sink.', 'Tom put cake into oven.']",1,-1,train_36,4
"['Tom burned his garage down.', 'Tom walked back into the garage and began picking up items on the floor.', 'Tom put the items in boxes and put the boxes on shelves above the work station.', 'Tom picked up the tools that were on the work station and put them into the toolbox.', 'Tom swept out the garage and drove the car back in.']",0,1,train_37,6
"[""Carla bought ice cream and cake for Andy's birthday."", 'Carla put the ice cream in the fridge.', 'Carla put the cake in the fridge.', 'The next day, Carla took the cake and ice cream out of the fridge to eat.', 'Carla and Andy ate cold cake.']",1,-1,train_38,5
"['Tom put his umbrella in his suitcase.', 'Tom packed his hat in his suitcase.', 'Tom forgot his suitcase at home when he left for the airport.', 'Tom checked his suitcase in at the airport.', 'Tom boarded the plane without his gloves.']",0,3,train_39,5
"['John stood up from the couch.', 'John closed the door.', 'John picked up the remote.', 'John switched on the tv.', 'John sat in the couch and watched tv.']",1,-1,train_40,0
"['Ann climbed over the fence.', 'Ann picked up the volleyball ball.', 'Ann picked up the tennis ball.', 'Ann put the balls in her duffle bag.', 'Ann filled up her water bottle in the fountain.']",1,-1,train_41,1
"['Tom leaves the bathroom.', 'Top uses the soap bar to wash himself.', 'Tom uses the water to rinse himself off.', 'Tom grabs a towel to dry himself.', 'Tom dries his hair with a hair dryer.']",0,1,train_42,8
"['Dan was sitting in his favorite chair.', 'Dan got up to change the channel on the television.', 'Dan found a nature program on the television.', 'Dan decided to relax in bed while watching the television.', 'Dan fell asleep while relaxing in bed.']",1,-1,train_43,7
"['Mary turned on the desktop computer.', 'Mary plugged in the keyboard.', 'Mary turned off the copier.', 'Mary read the magazine.', 'Mary made copies on the copier.']",0,4,train_44,9
"['John took the towel to the bathroom.', 'John accidentally drops his towel in the toilet.', 'John wiped himself with the towel.', 'John dried the hair with hair dyer.', 'John put the clothes in the washing machine.']",0,2,train_45,7
"['Tom went into the bathroom and took a shower.', 'Tom dried off and used the mirror to look at his face.', 'Tom dropped the mirror on the floor, then swept up the pieces and threw them away.', 'Tom brushed his teeth.', 'Tom used the mirror to look at his hair.']",0,4,train_46,1
"['John ate the pizza.', 'John cut the potato with the knife.', 'John gave some pizza to his friend.', 'John turned on the stove and fried the potato.', 'John ate the potato.']",0,2,train_47,8
"['John went to play in the park.', 'John took off his shoes.', 'John jumped into the sandbox under the tree.', 'John then climbed out to get a ball out of his bag.', 'John pushed his skateboard in the sandbox for fun.']",1,-1,train_48,2
"['Ann quietly opened the door.', 'Ann sat in the chair.', 'Ann took off her flip flops.', 'Ann picked up the radio.', 'Ann plugged the radio in the power outlet.']",1,-1,train_49,8
"['John put the watermelon on the counter.', 'John got a knife out of a drawer.', 'John threw the watermelon in the dustbin.', 'John put some of the watermelon in a cup.', 'John ate the watermelon.']",0,3,train_50,9
"['John turned on his desktop computer.', 'John opened his stationary box.', 'John could not find his pen.', 'John typed on his keyboard.', 'John printed his notes on the printer.']",1,-1,train_51,5
"['Lee went to the kitchen to make himself a sandwich.', 'Lee got the ingredients out of the refrigerator.', 'Lee spread mayonnaise and mustard on his bread.', 'Lee assembled the sandwich and put it on a plate.', 'Lee sat down to eat his sandwich.']",1,-1,train_52,3
"['Tom took cake from fridge.', 'Tom peeled the orange with knife.', 'Tom dumped milk into sink.', 'Tom ate ice cream with spoon.', 'Tom put cake into oven.']",1,-1,train_53,4
"['Tom took off the wrench from the shelf.', 'Tom got the screwdriver from the toolbox.', 'Tom used the wrench and screwdriver to disassemble the bicycle.', 'Tom put the bicycle parts into the wooden box.', 'Tom sealed the box with tape.']",1,-1,train_54,9
"['Tom hard boiled the egg.', 'Tom cut up the egg.', 'Tom cut up the cucumber.', 'Tom mixed the egg and the cucumber.', 'Tom poached the egg.']",0,4,train_55,1
"['John pushed in the chair.', 'John took everything off the table.', 'John turned off the radio.', 'John picked up the cell phone.', 'John put on his hat and walked away.']",1,-1,train_56,1
"['Tom was packing his suitcase.', 'Tom put his hat in the suitcase.', 'Tom added his gloves to the suitcase.', 'Tom threw away his only shoes.', 'Tom put on his shoes.']",0,4,train_57,5
"['Tom took the chainsaw and cut out a few pieces of wood.', 'Tom took the hammer and hammered nails to the wood.', 'Tom put all the pieces of wood together and finished making a box.', 'Tom painted the box using blue paint.', 'Tom put the box in the garage to dry.']",1,-1,train_58,6
"['Mary got her tool box.', 'Mary opened the box.', 'Mary took out materials from the opened box to reveal coffee table parts.', 'Mary smashed the parts.', 'Mary put the finished coffee table in the center part of the living room.']",0,4,train_59,4
"['Lee lost his duffle bag.', 'Lee set his duffle bag on the ground and got out his shorts and shoes.', 'Lee played frisbee near the swings.', 'Lee then played in the skateboard area.', 'Lee rested by the tree and drank from his water bottle.']",0,1,train_60,6
"['Mary realize she forgot to buy a hammer.', 'Mary took the hammer out of the box and put it on the shelf.', 'Mary moved the chainsaw over to a corner in the garage.', 'Mary took the rope out of the box and hung it on a nail on the wall.', 'Mary went out to the car and brought in her dry cleaning machine.']",0,1,train_61,7
"['Mary turned on the table lamp.', 'Mary unplugged the copier from the outlet.', 'Mary sharpened a pencil.', 'Mary opened the notebook and made a shopping list.', 'Mary took the shopping list from the notebook and went to the store.']",1,-1,train_62,0
"['Tom got into the shower.', 'Tom grabbed the shampoo bottle.', 'Tom found out that the shampoo is finished.', 'Tom washed his hair.', 'Tom got out of the shower.', 'Tom used the hair dryer.']",0,3,train_63,0
"['Ann wanted to clean her pants.', 'Ann walked over to the washing machine.', 'Ann discovered someone else is using the machine.', 'Ann put her pants in the washing machine.', 'Ann turned the washing machine on.']",0,3,train_64,2
"['Lee was cleaning the kitchen.', 'Lee dumped all the waste materials in the bin.', 'After a while the bin was filled with waste.', 'Lee buried all the waste in the ground.', 'Lee cleaned the bin and kept it in the sunlight.']",1,-1,train_65,3
"['Mary turned on her desktop computer.', 'Mary made sure the copier was working.', 'Mary used the copier to copy some things.', 'Mary cut out the copied paper with some scissors.', 'Mary colored in the cut out pieces of paper with blue ink.']",1,-1,train_66,9
"['Ann rode her bike to the park.', 'Ann sat on a bench and read a book.', 'Ann finished her food and walked to work.', 'Ann ate her lunch and went back to reading her book on the bench.', 'Ann packed up, got on her bike and rode home.']",0,3,train_67,3
"['John played on the swings.', 'John went towards the bench.', 'John took out his water bottle from the bag.', 'John drank from his water bottle.', 'John passed the bottle to his friend.']",1,-1,train_68,8
"['John was standing at the sink.', 'John turned on the faucet and filled the sink.', 'John added all the detergent to the sink.', 'John added a skirt to the sink.', 'John put the full detergent pack back into the cupboard.']",0,4,train_69,7
"['Tom went to the phone to call his friend.', 'Tom realized he needed to send out his resume.', 'Tom grabbed a pencil but broke its tip.', 'Tom wrote the message with the pencil.', 'Tom used some blue ink to print his resume.']",0,3,train_70,1
"['Tom had to assemble his bicycle.', 'Tom grabbed the wrench.', 'Tom took the bike parts out of the box.', 'Tom put the bike together with the wrench and screwdriver.', 'Tom rode the bike around the yard.']",1,-1,train_71,1
"['John sat on the bench and ate his sandwich.', 'John drank some water from the bottle.', 'John was wearing shorts because it was so hot outside.', ""John's dog broke his frisbee when they were playing."", 'John threw the frisbee into dustbin.']",1,-1,train_72,2
"['John had a new chainsaw.', 'John removed the chainsaw from its box.', 'John set up a ladder to cut a tree down.', 'John used a rope to haul the tree stump.', 'John used his car to drive to the dump to dispose of his tree stump.']",1,-1,train_73,5
"['Ann bought a new copier.', 'Ann set the heavy copier on top of a red cardboard box but the box crumpled completely flat under the weight of the copier.', 'Ann put some items into the box.', 'Ann used her new copier to make some copies from a book.', 'Ann then brought her stapler and scissors to the table.']",0,2,train_74,2
"['Ann used a wrench to try to repair her bicycle but was unable to.', 'Ann threw down the wrench.', 'Ann got an axe from the car.', 'Ann chopped up her bicycle into tiny bits with the axe.', 'Ann put the axe and wrench in a box and drove her car away.']",1,-1,train_75,6
"['John ate the cake.', 'John took the ice cream out of the fridge.', 'John ate the ice cream.', 'John dropped the bowl on the floor and broke it.', 'John put the milk in the fridge.']",1,-1,train_76,4
"['Mary got a phone call from the office at night.', 'Mary ignores the call and goes back to sleep.', 'Mary need to print some important document.', 'Mary refers all kinds of notebooks to prepare the document.', 'Mary finished her work and went back home.']",0,3,train_77,0
"['Tom grabbed the book.', 'Tom wrote in the book with blue ink.', 'Tom sat at the table.', 'Tom turned on the table lamp.', 'Tom read the book.']",1,-1,train_78,7
"['Mary sat down on the couch in the living room.', 'Mary reached for the television remote.', 'Mary turned on the television with the remote.', 'Mary chose a movie she wanted to watch.', 'Mary watched the movie.']",1,-1,train_79,0
"['Ryan switched on the heater.', 'Ryan put the towels onto the hanger.', 'Ryan replaced all of his soap with bottles of body gel.', 'Ryan took the soap from stand.', 'Ryan started applying soap and bathing.', 'Ryan turned off the shower.']",0,3,train_80,6
"['John filled the bathtub with water.', 'John did not have any more detergent.', 'John put the blanket in the tub.', 'John put his socks in the tub.', 'John used the blanket to keep him warm.']",0,4,train_81,8
"['Tom played basketball with Jerry and Sam on Monday.', 'Tom broke his tennis racket while playing tennis with Jim on Tuesday.', 'Tom lost his duffel bag at the airport on Wednesday.', 'Tom told his friends he had lost his duffel bag and broke his tennis racket.', 'Jerry, Sam and Jim surprised Tom with a new tennis racket and duffel bag on Sunday.']",1,-1,train_82,2
"['Mary came home from the store and put the ice cream in the freezer.', 'Mary boiled a pot of water and put in a box of pasta.', 'Mary cooked the pasta and drained it in a colander in the sink.', 'Mary spilled the colander and all the pasta went down the drain.', 'Mary sat down to enjoy her pasta for dinner.']",0,4,train_83,5
"['Mary rode home on her bicycle.', 'Mary cut down the only tree in her yard with a chainsaw.', 'Mary put a swing on the tree.', 'Mary got a box out of her truck.', 'Mary put the cut wood into her truck to take to the dump.']",0,2,train_84,3
"['Tom brushed his teeth with the toothbrush.', 'Tom washed his face in the sink.', 'Tom dried his face with a towel.', 'Tom put on his shirt and shorts.', 'Tom brushed his hair with the hair brush.']",1,-1,train_85,1
"['John borrowed a chainsaw from a neighbor to cut a tree.', 'John decided he would need a ladder to reach a high branch.', 'John cut off a branch but it fell and crushed the lawnmower.', 'John put the scraps from the lawnmower in a box.', 'John mowed the lawn.']",0,4,train_86,4
"['Mary got her tool box.', 'Mary opened the box.', 'Mary took out materials from the opened box to reveal coffee table parts.', 'Mary used the tools from the tool box to assemble the coffee table.', 'Mary put the finished coffee table in the center part of the living room.']",1,-1,train_87,3
"['John put a bowl on the counter.', 'John turned on the oven.', 'John mixed the cake batter.', 'John ate the ice cream.', 'John put a dollop of ice cream on the cake.']",0,4,train_88,9
"['John took a bath.', 'John drained the bathtub.', 'John brushed his hair with the hair brush.', 'John picked up his dirty socks and dropped them in the dustbin.', 'John wrapped himself in his blanket.']",1,-1,train_89,4
"['Mary trims grasses using lawnmower.', 'Mary puts trimmed grasses in the bucket.', 'Mary cuts woods using chainsaw.', 'Mary keeps woods in the box.', 'Mary picks box and bucket to the car.']",1,-1,train_90,8
"['Ann walks into the kitchen to fix a sandwich.', 'Ann retrieves a plate and butter-knife from the cupboards.', 'Ann opens the refrigerator and discovers her brother ate the last of the ham.', 'Ann decides on the wholegrain bread from the pantry.', 'Ann constructs the ham sandwich.', 'Ann sits down at the kitchen table to enjoy her meal.']",0,4,train_91,6
"['Jill was watching a video on her computer.', 'Jill had a notebook beside her.', 'Jill emptied all of the ink out of her pen.', 'Jill used the pen to take notes on the notebook.', 'Jill closed the video and turned off the computer.']",0,3,train_92,5
"['John stood up from the couch.', 'John closed the door.', 'John picked up the remote.', 'John threw the remote at the tv and broke the screen.', 'John sat in the couch and watched tv.']",0,4,train_93,8
"['John took out an apple and a banana from the fridge.', 'John peeled and sliced the mango.', 'The apple rolled off the counter onto the dirty floor.', 'John rinsed the apple under the faucet.', 'John cut the apple into small pieces.']",0,1,train_94,4
"['John knocked over the table.', 'John knocked the tv out of the window.', 'John grabbed his suitcase.', 'John put on his shoes.', 'John turned off the tv.']",0,4,train_95,7
"['Mary sat on the couch.', 'Mary looked at the phone on the coffee table.', 'Mary blew up a balloon.', 'A toy car crashed into the balloon and burst it.', 'Mary went outside and let the balloon float away.']",0,4,train_96,0
"['John pulled up a chair.', 'John sat on his eyeglasses and smashed them.', 'John turned on the radio.', 'John heard the phone rang.', 'John turned down the radio and made a phone call.']",1,-1,train_97,6
"['John threw the toothbrush out of the window.', 'John looked at himself in the mirror.', 'John put toothpaste on his toothbrush.', 'John brushed his teeth.', 'John cleaned the bathtub before his guests arrived.']",0,2,train_98,1
"['John went to the bathroom.', 'John decided to take a bath in the bathtub.', 'John shaved his head while in the tub.', 'John used the hair brush while in the tub.', 'John got out of the tub and wrapped himself with towel.']",0,3,train_99,2
"['Tom cooked the potato in the microwave.', 'Tom mashed the potato.', 'Tom started peeling the potato.', 'Tom sprinkled half a cup of grated cheese on the potato.', 'Tom placed the potato in microwave to melt the cheese.']",0,2,train_100,3
"['John opened the fridge.', 'John took out butter.', 'John also grabbed the ice cream.', 'John put the butter and ice cream in a blender.', 'John put the blended food in a cup.']",1,-1,train_101,5
"['Mary took her shoes off.', 'Mary threw her shoes over a tall fence.', 'Mary threw a football over the tall fence.', 'Mary threw a frisbee over the tall fence.', 'Mary put on her shoes.']",0,4,train_102,9
"['Ann turned on the light switch.', 'Ann broke the vase to pieces.', 'Ann put flowers in the vase.', 'Ann sat at the table.', 'Ann played the poker game with the playing cards.']",0,2,train_103,2
"['Tom put the bicycle in the car.', 'Tom cut the rope with the scissors.', 'Tom put the wrench and drill in the car.', 'Tom tied the bicycle to the car with the cut rope.', 'Tom drove the car to the repair shop.']",1,-1,train_104,9
"['Ann used a toothbrush to brush her teeth.', 'Ann walked into the shower.', 'Ann used the shampoo to wash her hair.', 'Ann used a hair dryer to dry her hair.', 'Ann went to sleep without using a toothbrush.']",0,4,train_105,3
"['John bought an axe at the store.', 'John saw that a wrench was on sale so he bought it too.', 'John decided to buy a tool box from another store.', 'John took his car back to the store to purchase the tool box but ran out of gas.', 'John drove home to get a container for gas.']",0,4,train_106,8
"['Tom brought a box to the table.', 'Tom opened the box.', 'Tom took scissors out of the box.', 'Tom cut up his book with the scissors.', 'Tom put the scissors back in the box.']",1,-1,train_107,7
"['Ann opened the toolbox to get a few things for her camping trip.', 'Ann took out an axe, a pair of scissors, rope and a few other things.', 'Ann put these items in a box and placed them in the trunk of her car.', 'Ann fastened her bicycle to the bicycle rack on her car.', 'Ann went for a nice, long bicycle ride.']",0,4,train_108,0
"['John walked in through the door.', 'John sat on the couch.', 'John turned the tv on.', 'John picked up his phone when it rang.', 'John turned his tv lower.']",1,-1,train_109,0
"['John turned on the oven.', 'John used knife to cut apple.', 'John used spoon to break egg.', 'John threw the bowl in the garbage can.', 'John put the bowl in the oven.']",0,4,train_110,7
"['John was riding his bicycle.', 'John braked when he saw a car.', 'John was carrying a bucket.', 'In the bucket was a wrench.', 'The wrench flew out of the bucket.']",1,-1,train_111,3
"['John took the cutting board out of the dishwasher.', 'John put the black mug in the dishwasher.', 'John put the blue mug on the counter.', 'John put the short knife on the cutting board.', 'John poured coffee into the blue mug.']",1,-1,train_112,5
"['John broke the sink with a hammer.', 'John gathered water from the faucet.', 'John used the soap bar on the stain.', 'John also used detergent on the stain.', 'John got his new shorts dirty by cleaning the sink.']",0,4,train_113,1
"['Ann walks into the kitchen to fix a sandwich.', 'Ann retrieves a plate and butter-knife from the cupboards.', 'Ann gets the ham, mayonnaise, and cheese out of the refrigerator.', 'Ann decides on the wholegrain bread from the pantry.', 'Ann constructs the ham sandwich.', 'Ann sits down at the kitchen table to enjoy her meal.']",1,-1,train_114,0
"['Mike stood up from the easy chair.', 'Mike walked to the end table.', 'Mike stepped on the remote control and broke it.', 'Mike used the remote control to change the channel.', 'Mike sat back down in the easy chair with the remote control.']",0,3,train_115,9
"['Mary opened her toolbox.', 'Mary took out an axe and hammer.', 'Mary needed to work on her car.', 'Mary used the axe to cut open a wooden box.', 'Mary took out car parts from the box.']",1,-1,train_116,9
"['Tom took his hammer to smash his old bathtub to smithereens.', 'Tom used his chainsaw to cut up old boards from the bathroom being remodeled.', 'Tom grabbed scissors to cut out a piece of paper in the shape of a heart for his wife.', 'Tom then took his bicycle to the store to buy a snack.', 'Tom brought the box of cookies home from the store.']",1,-1,train_117,6
"['Tom played volleyball.', 'Tom opened his duffle bag.', 'Tom drank all his water and threw out the water bottle.', 'Tom played basketball.', 'Tom drank from the water fountain.']",1,-1,train_118,7
"['Mary rode home on her bicycle.', 'Mary cut down the only tree in her yard with a chainsaw.', 'Mary moved the lawnmower and a bucket out of the way.', 'Mary got a box out of her truck.', 'Mary put the cut wood into her truck to take to the dump.']",1,-1,train_119,1
"['Ann turned on the faucet.', 'Ann tossed her pants in the washing machine.', 'Ann realized that the washing machine would not work.', 'Ann added her towel in the washing machine.', 'Ann poured bleach in the water.']",0,3,train_120,4
"['The room was dark, so Frank switched on the table lamp.', 'Frank made photocopies with the copier.', 'Frank shredded the book with the scissors.', 'Frank wrote in the notebook.', 'Frank turned off the table lamp.']",1,-1,train_121,2
"['John knocked over the table.', 'John knocked the tv out of the window.', 'John grabbed his suitcase.', 'John put on his shoes.', 'John opened the door and went out.']",1,-1,train_122,8
"['John was fired from his job and escorted out of the building.', 'John sat down at his table.', 'John checked for the pending works file.', 'John got this work report for yesterday.', ""John planned for the present day's work.""]",0,1,train_123,5
"['John washed his hair with the shampoo.', 'John put some conditioner on his head.', 'John used the hair dryer to dry his hair.', 'John took all of his clothes out of the dryer.', 'John put on a shirt, shorts and socks.']",1,-1,train_124,4
"['Mary turned on the table lamp.', 'Mary took out her pencil and notebook.', 'Mary drew heart shapes on all the pages of her notebook with a pencil.', 'Mary cut out the heart shaped drawings with her scissors.', 'Mary glued the heart shaped drawings on her book.']",1,-1,train_125,9
"['Ann found a box.', 'Ann took out a pencil from the box.', 'Ann turned on the table lamp.', 'Ann wrote a note in her notebook.', 'Ann used the fax machine.']",1,-1,train_126,0
"['Ann plugged the TV into the power outlet.', 'Ann sat on the couch.', 'Ann took off her shoes.', 'Ann turned on the TV.', 'Ann heard a knock on the door.']",1,-1,train_127,3
"['Ann moved her couch off the carpet.', 'Ann disassembled her table.', 'Ann put her laptop, candle and book on the table.', 'Ann dumped her coffee mug in the sink.', 'Ann picked up the umbrella and put it in the mud room.']",0,2,train_128,6
"['Tom looked around the garage.', 'Tom was looking for the box of Christmas ornaments.', 'Tom saw the box of Christmas ornaments on a high shelf.', 'Tom found a step ladder and used the ladder to reach the box of Christmas ornaments.', 'Tom put the step ladder away and carried the box of Christmas ornaments out of the garage.']",1,-1,train_129,7
"['Mary turned on the table lamp.', 'Mary could not find her scissors.', 'Mary used the scissors to cut out shapes.', 'Mary colored the shapes with her pencil.', 'Mary used the copier to make lots of copies of the shapes.']",0,2,train_130,3
"['Ann found her car broke down.', 'Ann got the toolbox.', 'Ann took out a drill and a wrench.', 'Ann used the tools to fix the car.', 'Ann could not find the wrench.']",0,4,train_131,9
"['John walked past the swings.', 'John threw the water bottle into a waste basket.', 'John sat down on a bench.', 'John tied his soccer shoes.', 'John stood up from the bench and kicked the soccer ball.']",1,-1,train_132,6
"['Ann went into the garage and took out a box of tools to sell at her garage sale.', 'Ann put the wrench, ax, and hammer on the table with other tools.', 'Ann grabbed the car mats in the garage and placed them on the miscellaneous table.', ""Ann picked up her son's old bike and put it next to the table with toys."", 'Ann went into the kitchen, got a cup of coffee and went out to greet the customers.']",1,-1,train_133,1
"['Ann drank from her water bottle.', 'Ann decided to go to a frisbee game.', 'Ann broke her skateboard while riding it.', 'Ann put the broken skateboard in her bag.', 'Ann walked up to the frisbee game and rested against a tree.']",1,-1,train_134,4
"['Mary changed into her shorts.', 'Mary grabbed a towel and headed to the beach.', 'Mary brought along her soap bar and shampoo bottle to clean up at the beach.', 'Mary forgot her towel at the beach.', 'Mary put her towel in the dryer.']",0,4,train_135,0
"[""Mary's car was broken."", 'Mary grabbed the axe for the car door.', 'Mary used the hammer to fix the car door.', 'Mary had a broken bike.', 'Mary could not fix the bike with the toolbox.']",1,-1,train_136,8
"['Mary took off her socks.', 'Mary put the socks in the washing machine.', 'Mary opened the cabinet.', 'Mary dropped her toothbrush in the toilet.', 'Mary brushed her teeth while looking in the mirror.']",0,4,train_137,2
"['Ann stepped into the bathroom.', 'Ann turned on the washing machine.', 'Ann put the detergent in the washing machine.', 'Ann put the shorts in the washing machine.', 'Ann walked out of the bathroom.']",1,-1,train_138,2
